WZ Sge,1809844934461976832,22.16,0.04,81.63,UGWZ,15.21,15.21,15.06,45.13,0.08
VW Hyi,4653893040002306432,18.53,0.02,106.95,UGSU,13.84,13.94,13.45,53.96,0.06
EX Hya,6185040879503491584,17.56,0.04,98.26,IP,13.21,13.23,12.88,56.9,0.1
V455 And,1920126431748251776,13.24,0.06,81.08,IP,16.06,16.13,15.71,75.5,0.3
GD 552,2208124536065383424,12.35,0.05,102.73,UGWZ,16.46,16.46,16.18,81.0,0.3
ASASSN-14dx*,2488974302977323008,12.34,0.04,82.81,UGWZ,14.96,14.92,14.69,81.0,0.3
AM Her,2123837555230207744,11.40,0.02,185.65,AM,13.58,13.86,12.85,87.8,0.1
IX Vel,5515820034889610112,11.04,0.03,279.25,NL,9.32,9.34,9.27,90.6,0.2
OY Car,5242787486412627072,11.01,0.03,90.89,UGSU,15.62,15.64,15.21,90.8,0.2
AE Aqr,4226332451596335616,10.97,0.06,592.78,IP,10.95,11.47,10.26,91.2,0.5
U Gem,674214551557961984,10.71,0.03,254.74,UG,13.91,14.38,13.11,93.4,0.3
BW Scl,2307289214897332480,10.60,0.10,78.23,UGWZ,16.26,16.26,16.10,94.4,0.9
V627 Peg,1800384942558699008,10.03,0.07,78.51,UGWZ,15.67,15.65,15.27,99.7,0.7
AR UMa,783921244796958208,9.87,0.12,115.92,AM,16.26,16.35,15.78,101,1
1RXS J105010.3−140431,3750072904055666176,9.14,0.11,88.56,UGWZ,17.17,17.21,17.08,109,1
TCP J21040470+4631129,2163612727665972096,9.13,0.12,77.07,UGWZ,17.77,17.87,17.29,109,2
V2051 Oph,4111991385628196224,8.90,0.07,89.90,UGSU,15.37,15.46,14.87,112.4,0.9
V834 Cen,6096905573613586944,8.90,0.21,101.52,AM,16.66,16.82,16.07,113,3
GW Lib,6226943645600487552,8.87,0.08,76.78,UGWZ,16.49,16.49,16.32,113,1
ST LMi,3996419759863758592,8.83,0.08,113.89,AM,16.13,–,–,113,1
SS Cyg,1972957892448494592,8.72,0.05,396.19,UG,11.69,12.11,10.95,114.6,0.6
V884 Her,4503256687122329088,8.69,0.02,113.01,AM,13.49,13.57,13.18,115.1,0.3
Z Cha,5210507882302442368,8.66,0.12,107.28,UGSU,15.85,15.94,15.19,116,2
Gaia  J051903.99+630340.4,285957277597658240,8.59,0.04,126,UGSU,15.17,15.30,14.77,116.4,0.5
V2301 Oph,4476137370261520000,8.24,0.08,112.97,AM,16.75,16.94,15.86,121,1
V893 Sco,6039131391540808832,8.06,0.05,109.38,UGSU,14.65,14.76,14.25,124.1,0.8
QZ Vir*,3800596876396315648,7.81,0.07,84.70,UGSU,16.06,16.12,15.76,128,1
V1040 Cen,5343601913741261312,7.80,0.03,87.11,UGSU,14.04,14.11,13.69,128.1,0.4
SDSS J125044.42+154957.3,3934459045528378368,7.79,0.18,86.3,AM,18.22,18.30,17.95,129,3
V379 Tel,6658737220627065984,7.65,0.07,101.03,AM,16.19,16.69,15.45,131,1
BL Hyi,4697621824327141248,7.65,0.07,113.64,AM,17.25,17.45,16.70,131,1
MR Ser*,1203639265875666304,7.59,0.05,113.47,AM,16.23,16.47,15.64,131.8,0.8
V3885 Sgr,6688624794231054976,7.54,0.08,298.31,NL,10.25,10.28,10.16,133,1
Gaia  J154008.28−392917.6,6008982469163902464,7.49,0.11,81.0,UGWZ,17.36,17.39,17.23,134,2
VV Pup,5719598950133755392,7.30,0.05,100.44,AM,15.93,16.04,15.48,137.0,0.9
VY Aqr,6896767366186700416,7.24,0.14,90.85,UGSU,16.86,16.96,16.44,138,3
IP Peg,2824150286583562496,7.08,0.05,227.82,UG,14.71,15.27,13.88,141.2,1.0
HT Cas,426306363477869696,7.07,0.06,106.05,UGSU,16.35,16.48,15.81,141,1
SDSS J102905.21+485515.2,834947865750806272,6.96,0.24,91.33,UGWZ,18.16,17.94,17.84,144,5
EZ Lyn*,935056333580267392,6.87,0.15,84.97,UGWZ,17.81,17.84,17.71,146,3
V379 Vir*,3699606286708406912,6.7,0.2,88.4,AM,18.01,18.02,17.93,150,4
V355 UMa,1558322303741820928,6.66,0.09,82.52,UGWZ,17.38,17.35,17.27,150,2
