# m1[Msun], m2[Msun], f_gw[Hz], inclination[rad], x_gal[kpc], y_gal[kpc], z_gal[kpc], Pala_reassigned
<<<<<<< HEAD
0.7015043023,1.0707741462,0.0000611654,1.2921974101,-9.0523756584,-0.3644207465,0.0329237406,0.0000000000
0.6987227239,0.1073744006,0.0003351663,2.2834467813,-8.2876812019,0.8004744368,0.0957350434,0.0000000000
0.6990483566,0.9906559305,0.0000653480,1.5115342639,-8.0480395947,0.0302194637,0.2040993595,0.0000000000
0.7003990712,0.4577900663,0.0001177006,2.2416065348,-9.0231241913,0.2559716127,0.2433758214,0.0000000000
0.7007840134,0.0735733500,0.0003955332,1.5745993172,-8.8071956558,-0.0833622773,0.2786858528,0.0000000000
0.6989923661,0.1081466381,0.0003354250,0.6201903771,-8.4628193485,0.7137869249,0.0414673431,0.0000000000
0.7017859900,0.0397962145,0.0004325562,1.7531317727,-8.7716315811,-0.0997292775,0.3314266860,0.0000000000
0.7018263749,0.1025378075,0.0003468592,1.0874837197,-8.5077124903,-0.1778489059,0.0535812673,0.0000000000
0.7004951978,0.0421464796,0.0004253562,2.0463661752,-8.6697574556,0.6417367821,-0.3738564352,0.0000000000
0.6995919781,0.1237281570,0.0003112532,2.0325572476,-7.7486920990,-0.7097668463,-0.1292739836,0.0000000000
0.7010378346,0.1220928186,0.0003120929,1.3200678805,-7.5581531458,0.6469233347,0.3432579003,0.0000000000
0.7000636545,0.5805451777,0.0001012846,0.2685325799,-8.4482066050,0.8321847533,0.4227729137,0.0000000000
0.6998650506,0.0408293219,0.0004308424,1.4054818682,-7.4618024543,-0.7017714719,-0.0937840599,0.0000000000
0.7009527326,0.0420321646,0.0003706162,1.6759808008,-7.5814174041,-0.5542911784,0.0312458789,0.0000000000
0.7012202638,0.1319274820,0.0002994748,2.0812447296,-7.3017180203,-0.3039889699,-0.3066390055,0.0000000000
0.6993401864,0.1257701571,0.0003057333,0.5736912249,-8.5696519967,0.3256042311,-0.5604861146,0.0000000000
0.6995887221,0.0414134354,0.0004111225,1.3402924350,-8.6640906640,0.5612540872,-0.2576675120,0.0000000000
0.6998087174,0.0995312421,0.0003517948,1.5780870858,-8.9287894060,0.5253189854,0.2612185207,0.0000000000
0.7000709527,0.0407144817,0.0004105727,1.3467642693,-8.8638134818,-0.2800179019,-0.1620030982,0.0000000000
0.7012560893,0.0406156081,0.0004190394,1.3113940541,-7.4836403077,0.1446675408,-0.1221197715,0.0000000000
0.6995582361,0.0639854642,0.0003974749,1.9913072092,-7.8274269619,-0.0525974119,-0.2123618897,0.0000000000
0.6997417436,0.0413554031,0.0004279680,0.8703427584,-8.1412868488,0.5904948046,-0.5487924400,0.0000000000
0.6991470432,0.1247079113,0.0003099236,2.6948422110,-8.1061686378,0.5847209670,0.1152326168,0.0000000000
0.7002140709,0.0557311335,0.0004017684,2.3767023335,-7.3166265391,-0.0537193731,0.2755066661,0.0000000000
0.6982006885,0.1440301789,0.0002839699,1.5313321375,-7.3128924021,-0.1852089808,-0.3088424170,0.0000000000
0.6999190378,0.1093291201,0.0003332189,1.5261399734,-7.7894532918,0.2123727063,-0.1819571216,0.0000000000
0.7003369860,0.0390048465,0.0004095899,1.2728003749,-7.2807192691,-0.3265825850,0.1346221340,0.0000000000
0.6983385397,0.1320103915,0.0003002085,1.4298733433,-8.5791103251,0.6583763923,0.3038030549,0.0000000000
0.7000407540,0.0624530182,0.0004045291,1.5413403355,-7.3830235637,0.3997105576,-0.1651086415,0.0000000000
0.6999190522,0.0964541314,0.0003603723,1.9516064479,-8.7358916564,-0.3181317736,0.1911550691,0.0000000000
