recno,M1,M2,R2,Per,Sep,logJ,logjsys,logjmg,logjgr,logjca,logjtot,logMLR2,zeta,logT2,log(g2),logL2,Pdot,logt,logt0,Step,Teff2,UxMag,BxMag,BMag,VMag,RMag,IMag,JMag,HMag,KMag,LMag,L'Mag,M'Mag,X,SpT
1,0.75,0.04,0.103,1.4987,0.612,50.203,33.243,33.017,32.85,30.747,33.244,-10.789,0.063,3.121,5.012,29.048,2.64E-14,9.52767,9.43844,6.15E7,1321,32.89,27.47,27.54,24.68,20.46,17.51,13.66,13.62,13.47,12.74,11.51,11.56,,T
2,0.75,0.041,0.103,1.4845,0.608,50.213,33.273,33.048,32.881,30.799,33.275,-10.759,0.063,3.135,5.022,29.107,2.63E-14,9.51967,9.42859,5.74E7,1365,32.54,27.13,27.21,24.46,20.26,17.31,13.52,13.46,13.33,12.55,11.4,11.51,,T
3,0.75,0.042,0.104,1.4713,0.605,50.222,33.303,33.078,32.91,30.847,33.304,-10.73,0.073,3.149,5.031,29.164,2.62E-14,9.51207,9.41919,5.37E7,1409,32.15,26.77,26.84,24.2,20.03,17.08,13.35,13.28,13.16,12.35,11.26,11.43,,T
4,0.75,0.043,0.104,1.459,0.602,50.23,33.332,33.106,32.939,30.893,33.333,-10.703,0.082,3.162,5.039,29.217,2.57E-14,9.50483,9.41022,5.04E7,1452,31.82,26.46,26.53,23.95,19.81,16.86,13.22,13.12,13.02,12.2,11.16,11.39,,T
5,0.75,0.044,0.104,1.4476,0.599,50.239,33.359,33.134,32.966,30.937,33.361,-10.676,0.094,3.175,5.047,29.27,2.54E-14,9.49793,9.40162,4.74E7,1496,31.47,26.13,26.2,23.68,19.58,16.64,13.07,12.96,12.88,12.04,11.05,11.34,,T
6,0.75,0.045,0.104,1.437,0.596,50.248,33.386,33.16,32.993,30.981,33.387,-10.65,0.104,3.187,5.055,29.32,2.51E-14,9.49134,9.39337,4.47E7,1538,31.17,25.86,25.92,23.42,19.35,16.45,12.96,12.82,12.75,11.91,10.97,11.3,,T
7,0.75,0.046,0.104,1.4272,0.594,50.256,33.411,33.186,33.019,31.023,33.413,-10.626,0.113,3.198,5.062,29.368,2.46E-14,9.48503,9.38546,4.22E7,1578,30.9,25.6,25.67,23.18,19.14,16.27,12.85,12.7,12.64,11.79,10.89,11.26,,T
8,0.75,0.047,0.105,1.4181,0.592,50.264,33.436,33.211,33.043,31.064,33.438,-10.602,0.123,3.209,5.069,29.415,2.41E-14,9.47899,9.37784,4.0E7,1618,30.61,25.34,25.41,22.92,18.92,16.08,12.72,12.55,12.49,11.65,10.79,11.19,,T
9,0.75,0.048,0.105,1.4097,0.59,50.272,33.46,33.235,33.067,31.103,33.462,-10.58,0.132,3.219,5.076,29.459,2.29E-14,9.47319,9.37051,3.8E7,1656,30.37,25.14,25.21,22.7,18.75,15.94,12.63,12.45,12.37,11.53,10.71,11.15,,T
10,0.75,0.049,0.105,1.402,0.588,50.28,33.483,33.258,33.09,31.141,33.485,-10.558,0.146,3.23,5.082,29.503,2.18E-14,9.4676,9.36342,3.62E7,1698,30.1,24.91,24.98,22.45,18.56,15.79,12.54,12.33,12.23,11.39,10.63,11.11,,T
